num,name,shape,color,text,text2,code,form,company,image_url
90,낙센연질캡슐(나프록센),타원형,분홍,NAX,,201501592,연질캡슐,(주)종근당,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OO88JPAn_6
91,낙센정(나프록센),장방형,노랑,N250,,197500016,정제,(주)종근당,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427297681200156
92,네로민정,원형,주황,GH,NE,201201967,정제,(유)한풍제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NeFqpW1gi-
93,네오신정,원형,노랑,WBT,,202303220,정제,메딕스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsAaf
94,네오콜캡슐,장방형,갈색 노랑,NY51 NY51,,201706691,경질캡슐,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151672206274500105
95,네오콜코프캡슐,장방형,파랑 하양,NY52 NY52,,201800286,경질캡슐,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152415243654100033
96,네오크로신연질캡슐(클로닉신리시네이트),타원형,파랑,NEO,,201803647,연질캡슐,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N8jUtEiHm-
97,네프비타정,원형,주황,DID,,199802000,정제,하이플생명과학(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PT7hBiMTWm
98,넥스팜염산암부록솔정(암브록솔염산염),원형,하양,AMBU,,199804331,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MVzhX
99,넥스팜탄산칼슘정(침강탄산칼슘),원형,하양,NKCA,,199804362,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MbnHD7rxmm
100,넥스핀장용정100mg(아스피린),원형,하양,N^S,,201310349,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsApr
101,넥콘600에프정,장방형,갈색,NK,600,201804383,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MYVLzDTTrv
102,넬슨이부프로펜정200밀리그램(이부프로펜),원형,주황,KNP,,199501735,정제,한국넬슨제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427558691400000
103,넬슨이부프로펜정400밀리그램(이부프로펜),타원형,주황,NELSON,,199501736,정제,한국넬슨제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427558691400012
104,노량캡슐,장방형,초록 하양,NR AG,,202300042,경질캡슐,안국약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OURtchsAIC
105,노리스정(클로닉신리시네이트),원형,노랑,NR,cr,198601395,정제,지엘파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NhETqzLMc6
106,노바멜라인장용정100밀리그램(브로멜라인),원형,분홍,NV,,202301788,정제,주식회사 노바엠헬스케어,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OZV2pPArkX
107,노바프록센정(나프록센나트륨),타원형,파랑,NVM,7,202106248,정제,주식회사 노바엠헬스케어,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O0bxj5FjvT
108,노스핀캡슐,장방형,노랑,Wal C35,,200906281,경질캡슐,오스틴제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800068
109,노시드정,원형,하양,YN,,202002642,정제,영진약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6SM0
110,노이제로정,타원형,갈색,JE^,,201701612,정제,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N7WiIONw_z
111,노이텍정,타원형,갈색,E^R,,201801617,정제,아이큐어(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9NY
112,노자임캡슐40000(판크레아틴장용성제피펠렛),장방형,갈색 주황,40,,201307930,경질캡슐,(주)한국팜비오,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149723228746300092
113,노즈그린연질캡슐,타원형,노랑,GRN,,202201683,연질캡슐,코스맥스파마(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OQ2VIm7Wbe
114,노즈코프연질캡슐,장방형,빨강,노즈코프,,202300634,연질캡슐,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OURtchspS-
115,노즈파워연질캡슐,타원형,빨강,NOSP,,201601579,연질캡슐,한솔신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153339724594600013
116,노콜레스연질캡슐,타원형,초록,CANO,,200709062,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6IOz
117,노펜에스정,장방형,하양,NY11,,202203657,정제,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OW18w-b01v
118,녹십자폴산정,원형,노랑,GCF,,201803375,정제,(주)녹십자,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUce1U
119,누코미트캡슐200밀리그램(아세틸시스테인),장방형,노랑,NUC 200,,199200475,경질캡슐,(주)셀트리온제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OSWzHKsv_D
120,눈모아연질캡슐,타원형,갈색,IWP,,200708954,연질캡슐,(주)아이월드제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6IE9
121,뉴넥스정,원형,초록,NL,,202006971,정제,한국신텍스제약(주),
122,뉴락스에프정,원형,초록,TGNF,,202004930,정제,태극제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJnaU
123,뉴로친연질캡슐,장방형,노랑,뉴로친,,200301985,연질캡슐,(주)씨엠지제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428018612500085
124,뉴먼트에이스연질캡슐,장방형,갈색,NMT ACE,,201308209,연질캡슐,제이더블유중외제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs6kB
125,뉴모나정(덱스판테놀),원형,하양,NMN,,202007137,정제,경동제약(주),
126,뉴스피린장용정100밀리그램(아스피린),원형,하양,DM,^S,201801356,정제,(주)다산제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153339721554900111
127,뉴에르도테캡슐(에르도스테인),장방형,초록 노랑,AN EDT,,201602871,경질캡슐,안국뉴팜(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148362082166500066
128,뉴젠비싸이모정,원형,분홍,CYMO,,200301795,정제,(주)셀릭스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6LXQ
129,뉴코딜정,원형,초록,NP,,201900111,정제,대한뉴팜(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MZGLmiMsUc
130,뉴콘틴연질캡슐,장방형,주황,KS NC,,201103116,연질캡슐,정우신약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Ogz8Ct6u5F
131,뉴트리-비프리미엄정,타원형,갈색,NBP,KLN,201305371,정제,코오롱제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1ODWhLtN68H
132,뉴트리액티브정,장방형,갈색,NTA,,202003327,정제,한국코러스(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NRstGF7DCh
133,니오틴정(비오틴),원형,하양,HS,1,202303390,정제,(주)휴온스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs8uc
134,니자드정(니자티딘),원형,노랑,ENK,ND,201404327,정제,(주)이든파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NoOiJmZV07
135,니자티드정(니자티딘),원형,노랑,NZT 75,,200501559,정제,(주)한국파마,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147765867288000094
136,니타딘정(니자티딘),원형,노랑,NKN,,200302728,정제,(주)넥스팜코리아,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PWvmOITHuh
137,다나센연질캡슐(나프록센),타원형,파랑,SNP,,201404125,연질캡슐,(주)에이프로젠바이오로직스,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154176795981800053
138,다나프록센정(나프록센나트륨)(수출용),타원형,파랑,HK DN,,200705433,정제,한국코러스(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148007720779100183
139,다리아정,원형,노랑,KY 1,,201706530,정제,한국신텍스제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151672206274500117
140,다모판텐정100밀리그램(덱스판테놀) ,원형,하양,DXP,,202006701,정제,맥널티제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NhoLkusiFv
141,다비어정,원형,초록,CP5,,201602093,정제,(주)씨엠지제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427232964000023
142,다산알벤다졸정400밀리그램,장방형,주황,DM,A,202004224,정제,(주)다산제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F66xS
143,다이락스-큐정,원형,초록,C^,,200904507,정제,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834126208100140
144,다이락스쎈정,원형,초록,CA RB,,202301820,정제,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OfFuJXMKWP
145,다이오친에프정,원형,보라,S^,,200400785,정제,삼아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834130612600060
146,다이제스칸정,장방형,초록,DIS,,200905402,정제,(주)휴비스트제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OgmtypWWUA
147,다이제스토정,장방형,초록,DGO,,200902108,정제,화일약품(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OflX036cmW
148,다이제스트정,장방형,초록,MTS,PC,200200852,정제,(주)마더스제약,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N_tI6JB9dY
149,다이제틴정,원형,초록,^3,,200904689,정제,알리코제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PYFqZxFyQw
150,다졸정(알벤다졸),장방형,주황,DZT,,202002084,정제,아이큐어(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NB7nLey5uL
151,다펜-큐연질캡슐(이부프로펜),타원형,파랑,CADFQ,,201500673,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OcWuLSAyDt
152,다펜나이트연질캡슐,타원형,노랑,CA DN,,202303276,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9iw
153,다펜덱시연질캡슐(덱시부프로펜),타원형,파랑,CA DX,,202401681,연질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1PEPKBUcjg9
154,다펜캡슐(이부프로펜)(수출용),장방형,초록 하양,CHO-A DAF,,200003489,경질캡슐,조아제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Oi0vWfEyhP
155,다푸러펜정,원형,하양,CH24,,202400957,정제,경남제약(주),
156,단자민정(디펜히드라민염산염),장방형,하양,KDC,DZ,200808028,정제,고려제약(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427921494800068
157,담엔쿨정,원형,하양,SK,,202400780,정제,에스케이케미칼(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFsBve
158,대웅바이오덱시부프로펜정300밀리그램,장방형,하양,DWB D300,,202003642,정제,대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P3diGKSDU4
159,대웅바이오아스피린장용정100밀리그램,원형,하양,DWB A,,201803126,정제,대웅바이오(주),https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154242315129600012
